season,week,player,player_id,team,opponent,stat,line,market_over_prob,model_over_prob,edge,actual_value,actual_over,model_correct,market_correct,model_beat_market
2026,1,Marvin Harrison Jr.,00-0039849,ARI,LAC,rec_yards,50.5,0.5,0.48022992956479793,-0.01977007043520207,,,,,
2026,1,Omarion Hampton,00-0040666,LAC,ARI,rush_yards,65.5,0.5,0.4212300970495545,-0.0787699029504455,,,,,
2026,1,Justin Herbert,00-0036355,LAC,ARI,rush_yards,22.5,0.5,0.6490188175798418,0.1490188175798418,,,,,
2026,1,Brock Bowers,00-0039338,LV,MIA,rec_yards,63.5,0.5,0.4368681700393777,-0.06313182996062228,,,,,
2026,1,De'Von Achane,00-0039040,MIA,LV,rec_yards,29.5,0.5,0.4381924619839629,-0.06180753801603711,,,,,
2026,1,Ashton Jeanty,00-0040122,LV,MIA,rec_yards,19.5,0.5,0.5220324246357199,0.02203242463571986,,,,,
2026,1,De'Von Achane,00-0039040,MIA,LV,rush_yards,76.5,0.5,0.4994100506692426,-0.0005899493307574,,,,,
2026,1,Ashton Jeanty,00-0040122,LV,MIA,rush_yards,76.5,0.5,0.34855932089123076,-0.15144067910876924,,,,,
2026,1,Jordan Love,00-0036264,GB,MIN,pass_yards,231.5,0.5,0.2547924036758211,-0.24520759632417888,,,,,
2026,1,Justin Jefferson,00-0036322,MIN,GB,rec_yards,76.5,0.5,0.310231390908144,-0.189768609091856,,,,,
2026,1,Christian Watson,00-0038124,GB,MIN,rec_yards,54.5,0.5,0.5807676213442966,0.0807676213442966,,,,,
2026,1,Tucker Kraft,00-0038996,GB,MIN,rec_yards,52.5,0.5,0.45785268507303856,-0.04214731492696144,,,,,
2026,1,Jordan Love,00-0036264,GB,MIN,rush_yards,8.5,0.5,0.5661490361657675,0.0661490361657675,,,,,
2026,1,Jayden Daniels,00-0039910,WAS,PHI,pass_yards,223.5,0.5,0.22543823911423133,-0.27456176088576867,,,,,
2026,1,Jalen Hurts,00-0036389,PHI,WAS,pass_yards,215.5,0.5,0.5609976349161705,0.060997634916170496,,,,,
2026,1,DeVonta Smith,00-0036912,PHI,WAS,rec_yards,65.5,0.5,0.47746373174763435,-0.022536268252365654,,,,,
2026,1,Terry McLaurin,00-0035659,WAS,PHI,rec_yards,59.5,0.5,0.5244637646194433,0.02446376461944333,,,,,
2026,1,Saquon Barkley,00-0034844,PHI,WAS,rec_yards,13.5,0.5,0.6271162668689103,0.1271162668689103,,,,,
